Z,CDF
-4.50,0.00000340
-4.49,0.00000356
-4.48,0.00000373
-4.47,0.00000391
-4.46,0.00000410
-4.45,0.00000429
-4.44,0.00000450
-4.43,0.00000471
-4.42,0.00000494
-4.41,0.00000517
-4.40,0.00000541
-4.39,0.00000567
-4.38,0.00000593
-4.37,0.00000621
-4.36,0.00000650
-4.35,0.00000681
-4.34,0.00000712
-4.33,0.00000746
-4.32,0.00000780
-4.31,0.00000816
-4.30,0.00000854
-4.29,0.00000893
-4.28,0.00000934
-4.27,0.00000977
-4.26,0.00001022
-4.25,0.00001069
-4.24,0.00001118
-4.23,0.00001168
-4.22,0.00001222
-4.21,0.00001277
-4.20,0.00001335
-4.19,0.00001395
-4.18,0.00001458
-4.17,0.00001523
-4.16,0.00001591
-4.15,0.00001662
-4.14,0.00001737
-4.13,0.00001814
-4.12,0.00001894
-4.11,0.00001978
-4.10,0.00002066
-4.09,0.00002157
-4.08,0.00002252
-4.07,0.00002351
-4.06,0.00002454
-4.05,0.00002561
-4.04,0.00002673
-4.03,0.00002789
-4.02,0.00002910
-4.01,0.00003036
-4.00,0.00003167
-3.99,0.00003304
-3.98,0.00003446
-3.97,0.00003594
-3.96,0.00003747
-3.95,0.00003908
-3.94,0.00004074
-3.93,0.00004247
-3.92,0.00004427
-3.91,0.00004615
-3.90,0.00004810
-3.89,0.00005012
-3.88,0.00005223
-3.87,0.00005442
-3.86,0.00005669
-3.85,0.00005906
-3.84,0.00006152
-3.83,0.00006407
-3.82,0.00006673
-3.81,0.00006948
-3.80,0.00007235
-3.79,0.00007532
-3.78,0.00007841
-3.77,0.00008162
-3.76,0.00008496
-3.75,0.00008842
-3.74,0.00009201
-3.73,0.00009574
-3.72,0.00009961
-3.71,0.00010363
-3.70,0.00010780
-3.69,0.00011213
-3.68,0.00011662
-3.67,0.00012128
-3.66,0.00012611
-3.65,0.00013112
-3.64,0.00013632
-3.63,0.00014171
-3.62,0.00014730
-3.61,0.00015310
-3.60,0.00015911
-3.59,0.00016534
-3.58,0.00017180
-3.57,0.00017849
-3.56,0.00018543
-3.55,0.00019262
-3.54,0.00020006
-3.53,0.00020778
-3.52,0.00021577
-3.51,0.00022405
-3.50,0.00023263
-3.49,0.00024151
-3.48,0.00025071
-3.47,0.00026023
-3.46,0.00027009
-3.45,0.00028029
-3.44,0.00029086
-3.43,0.00030179
-3.42,0.00031311
-3.41,0.00032481
-3.40,0.00033693
-3.39,0.00034946
-3.38,0.00036243
-3.37,0.00037584
-3.36,0.00038971
-3.35,0.00040406
-3.34,0.00041889
-3.33,0.00043423
-3.32,0.00045009
-3.31,0.00046648
-3.30,0.00048342
-3.29,0.00050094
-3.28,0.00051904
-3.27,0.00053774
-3.26,0.00055706
-3.25,0.00057703
-3.24,0.00059765
-3.23,0.00061895
-3.22,0.00064095
-3.21,0.00066367
-3.20,0.00068714
-3.19,0.00071136
-3.18,0.00073638
-3.17,0.00076219
-3.16,0.00078885
-3.15,0.00081635
-3.14,0.00084474
-3.13,0.00087403
-3.12,0.00090426
-3.11,0.00093544
-3.10,0.00096760
-3.09,0.00100078
-3.08,0.00103500
-3.07,0.00107029
-3.06,0.00110668
-3.05,0.00114421
-3.04,0.00118289
-3.03,0.00122277
-3.02,0.00126387
-3.01,0.00130624
-3.00,0.00134990
-2.99,0.00139489
-2.98,0.00144124
-2.97,0.00148900
-2.96,0.00153820
-2.95,0.00158887
-2.94,0.00164106
-2.93,0.00169481
-2.92,0.00175016
-2.91,0.00180714
-2.90,0.00186581
-2.89,0.00192621
-2.88,0.00198838
-2.87,0.00205236
-2.86,0.00211821
-2.85,0.00218596
-2.84,0.00225568
-2.83,0.00232740
-2.82,0.00240118
-2.81,0.00247707
-2.80,0.00255513
-2.79,0.00263540
-2.78,0.00271794
-2.77,0.00280281
-2.76,0.00289007
-2.75,0.00297976
-2.74,0.00307196
-2.73,0.00316672
-2.72,0.00326410
-2.71,0.00336416
-2.70,0.00346697
-2.69,0.00357260
-2.68,0.00368111
-2.67,0.00379256
-2.66,0.00390703
-2.65,0.00402459
-2.64,0.00414530
-2.63,0.00426924
-2.62,0.00439649
-2.61,0.00452711
-2.60,0.00466119
-2.59,0.00479880
-2.58,0.00494002
-2.57,0.00508493
-2.56,0.00523361
-2.55,0.00538615
-2.54,0.00554262
-2.53,0.00570313
-2.52,0.00586774
-2.51,0.00603656
-2.50,0.00620967
-2.49,0.00638715
-2.48,0.00656912
-2.47,0.00675565
-2.46,0.00694685
-2.45,0.00714281
-2.44,0.00734363
-2.43,0.00754941
-2.42,0.00776025
-2.41,0.00797626
-2.40,0.00819754
-2.39,0.00842419
-2.38,0.00865632
-2.37,0.00889404
-2.36,0.00913747
-2.35,0.00938671
-2.34,0.00964187
-2.33,0.00990308
-2.32,0.01017044
-2.31,0.01044408
-2.30,0.01072411
-2.29,0.01101066
-2.28,0.01130384
-2.27,0.01160379
-2.26,0.01191063
-2.25,0.01222447
-2.24,0.01254546
-2.23,0.01287372
